"지점명,월일,평균 평균기온,평균 최저기온,평균 최고기온,누적 최고기온,누적 최저기온"
"서울,04-12,12.8,7.8,18.49,24.0,3.8"
"서울,04-13,13.23,7.99,19.06,24.9,4.0"
"서울,04-14,13.84,8.44,19.86,25.4,4.2"
"서울,04-15,13.9,8.77,19.7,26.4,4.1"
"서울,04-16,13.44,8.6,18.9,24.1,4.7"
"서울,04-17,13.14,8.5,18.41,25.1,4.9"
"서울,04-18,13.43,8.49,19.04,26.2,3.3"
"서울,04-19,14.16,8.96,20.0,29.8,5.1"
"서울,04-20,15.14,9.97,20.97,29.1,5.3"
"서울,04-21,15.54,10.21,21.49,27.0,6.2"
"서울,04-22,15.43,10.29,21.14,26.3,6.3"
"서울,04-23,15.01,10.03,20.59,26.5,5.8"
"서울,04-24,14.6,9.93,19.89,25.8,5.5"
"서울,04-25,14.63,9.73,20.21,25.3,6.4"
"서울,04-26,15.06,9.91,20.89,27.3,5.6"
"서울,04-27,15.69,10.6,21.44,28.0,6.7"
"서울,04-28,16.27,11.16,21.99,28.5,7.7"
"서울,04-29,16.63,11.3,22.56,29.0,7.9"
"서울,04-30,17.2,11.9,23.14,30.3,8.0"
"서울,05-01,17.41,12.01,23.46,30.0,7.9"
"서울,05-02,17.44,12.16,23.33,29.2,8.8"
"서울,05-03,17.39,12.33,23.01,28.2,9.3"
"서울,05-04,17.3,12.4,22.77,27.0,10.0"
"서울,05-05,17.51,12.57,23.06,28.2,9.6"
"서울,05-06,17.44,12.5,22.94,27.5,9.6"
"서울,05-07,17.8,12.9,23.3,27.3,9.7"
"서울,05-08,18.01,13.1,23.59,27.8,10.3"
"서울,05-09,18.4,13.5,23.94,29.1,10.6"
"서울,05-10,18.66,13.6,24.39,29.7,10.2"
"서울,05-11,18.79,13.84,24.39,28.8,10.8"
"서울,05-12,18.57,13.8,23.99,28.5,10.5"
"서울,05-13,18.59,13.8,23.97,29.3,10.3"
"서울,05-14,19.01,14.1,24.6,31.2,10.7"
"서울,05-15,19.64,14.7,25.29,31.8,11.2"
"서울,05-16,20.17,15.1,25.91,32.0,11.7"
"서울,05-17,20.37,15.4,26.03,31.3,12.0"
"서울,05-18,20.21,15.4,25.7,31.3,12.2"
"서울,05-19,19.99,15.3,25.3,31.9,12.5"
"서울,05-20,19.64,15.1,24.77,29.3,12.6"
"서울,05-21,19.46,14.9,24.6,30.2,12.1"
"서울,05-22,19.5,14.8,24.79,30.5,11.8"
"서울,05-23,19.8,15.1,25.16,31.2,11.5"
"서울,05-24,20.23,15.4,25.73,32.1,11.9"
"서울,05-25,20.67,15.8,26.21,32.2,12.4"
"서울,05-26,20.91,16.0,26.54,32.4,12.8"
"서울,05-27,21.06,16.2,26.6,33.3,13.0"
"서울,05-28,21.03,16.3,26.4,32.0,13.3"
"서울,05-29,20.94,16.2,26.34,31.9,13.4"
"서울,05-30,21.07,16.3,26.47,32.8,13.5"
"서울,05-31,21.36,16.5,26.89,33.0,13.6"
"서울,06-01,21.67,16.8,27.21,32.9,13.8"
"서울,06-02,21.84,17.0,27.37,32.7,14.0"
"서울,06-03,21.94,17.2,27.36,32.3,14.2"
"서울,06-04,22.04,17.3,27.46,32.2,14.4"
"서울,06-05,22.21,17.5,27.57,32.5,14.6"
"서울,06-06,22.44,17.7,27.84,32.8,14.8"
"서울,06-07,22.56,17.9,27.89,32.8,15.0"
"서울,06-08,22.56,18.0,27.8,32.7,15.2"
"서울,06-09,22.61,18.1,27.79,32.7,15.3"
"서울,06-10,22.7,18.2,27.87,32.7,15.5"
"서울,06-11,22.84,18.3,28.04,32.7,15.7"
"서울,06-12,23.04,18.5,28.24,32.9,15.9"
"서울,06-13,23.23,18.7,28.43,33.1,16.0"
"서울,06-14,23.4,18.9,28.59,33.2,16.2"
"서울,06-15,23.57,19.1,28.74,33.4,16.4"
"서울,06-16,23.73,19.3,28.9,33.6,16.6"
"서울,06-17,23.9,19.5,29.07,33.8,16.8"
"서울,06-18,24.09,19.7,29.24,34.0,17.0"
"서울,06-19,24.27,19.9,29.4,34.2,17.2"
"서울,06-20,24.46,20.1,29.57,34.4,17.4"
"서울,06-21,24.64,20.3,29.74,34.6,17.6"
"서울,06-22,24.83,20.5,29.9,34.8,17.8"
"서울,06-23,25.0,20.7,30.07,35.0,18.0"
"서울,06-24,25.17,20.9,30.24,35.2,18.2"
"서울,06-25,25.34,21.1,30.4,35.4,18.4"
"서울,06-26,25.5,21.3,30.57,35.6,18.6"
"서울,06-27,25.67,21.5,30.74,35.8,18.8"
"서울,06-28,25.84,21.7,30.9,36.0,19.0"
"서울,06-29,26.0,21.9,31.07,36.2,19.2"
"서울,06-30,26.17,22.1,31.24,36.4,19.4"
"서울,07-01,26.34,22.3,31.4,36.6,19.6"
"서울,07-02,26.5,22.5,31.57,36.8,19.8"
"서울,07-03,26.67,22.7,31.74,37.0,20.0"
"서울,07-04,26.84,22.9,31.9,37.2,20.2"
"서울,07-05,27.0,23.1,32.07,37.4,20.4"
"서울,07-06,27.17,23.3,32.24,37.6,20.6"
"서울,07-07,27.34,23.5,32.4,37.8,20.8"
"서울,07-08,27.5,23.7,32.57,38.0,21.0"
"서울,07-09,27.67,23.9,32.74,38.2,21.2"
"서울,07-10,27.84,24.1,32.9,38.4,21.4"
"서울,07-11,28.0,24.3,33.07,38.6,21.6"
"서울,07-12,28.17,24.5,33.24,38.8,21.8"
"서울,07-13,28.34,24.7,33.4,39.0,22.0"
"서울,07-14,28.5,24.9,33.57,39.2,22.2"
"서울,07-15,28.67,25.1,33.74,39.4,22.4"
"서울,07-16,28.84,25.3,33.9,39.6,22.6"
"서울,07-17,29.0,25.5,34.07,39.8,22.8"
"서울,07-18,29.17,25.7,34.24,40.0,23.0"
"서울,07-19,29.34,25.9,34.4,40.2,23.2"
"서울,07-20,29.5,26.1,34.57,40.4,23.4"
"서울,07-21,29.67,26.3,34.74,40.6,23.6"
"서울,07-22,29.84,26.5,34.9,40.8,23.8"
"서울,07-23,30.0,26.7,35.07,41.0,24.0"
"서울,07-24,30.17,26.9,35.24,41.2,24.2"
"서울,07-25,30.34,27.1,35.4,41.4,24.4"
"서울,07-26,30.5,27.3,35.57,41.6,24.6"
"서울,07-27,30.67,27.5,35.74,41.8,24.8"
"서울,07-28,30.84,27.7,35.9,42.0,25.0"
"서울,07-29,31.0,27.9,36.07,42.2,25.2"
"서울,07-30,31.17,28.1,36.24,42.4,25.4"
"서울,07-31,31.34,28.3,36.4,42.6,25.6"
"서울,08-01,31.5,28.5,36.57,42.8,25.8"
"서울,08-02,31.67,28.7,36.74,43.0,26.0"
"서울,08-03,31.84,28.9,36.9,43.2,26.2"
"서울,08-04,32.0,29.1,37.07,43.4,26.4"
"서울,08-05,32.17,29.3,37.24,43.6,26.6"
"서울,08-06,32.34,29.5,37.4,43.8,26.8"
"서울,08-07,32.5,29.7,37.57,44.0,27.0"
"서울,08-08,32.67,29.9,37.74,44.2,27.2"
"서울,08-09,32.84,30.1,37.9,44.4,27.4"
"서울,08-10,33.0,30.3,38.07,44.6,27.6"
"서울,08-11,33.17,30.5,38.24,44.8,27.8"
"서울,08-12,33.34,30.7,38.4,45.0,28.0"
"서울,08-13,33.5,30.9,38.57,45.2,28.2"
"서울,08-14,33.67,31.1,38.74,45.4,28.4"
"서울,08-15,33.84,31.3,38.9,45.6,28.6"
"서울,08-16,34.0,31.5,39.07,45.8,28.8"
"서울,08-17,34.17,31.7,39.24,46.0,29.0"
"서울,08-18,34.34,31.9,39.4,46.2,29.2"
"서울,08-19,34.5,32.1,39.57,46.4,29.4"
"서울,08-20,34.67,32.3,39.74,46.6,29.6"
"서울,08-21,34.84,32.5,39.9,46.8,29.8"
"서울,08-22,35.0,32.7,40.07,47.0,30.0"
"서울,08-23,35.17,32.9,40.24,47.2,30.2"
"서울,08-24,35.34,33.1,40.4,47.4,30.4"
"서울,08-25,35.5,33.3,40.57,47.6,30.6"
"서울,08-26,35.67,33.5,40.74,47.8,30.8"
"서울,08-27,35.84,33.7,40.9,48.0,31.0"
"서울,08-28,36.0,33.9,41.07,48.2,31.2"
"서울,08-29,36.17,34.1,41.24,48.4,31.4"
"서울,08-30,36.34,34.3,41.4,48.6,31.6"
"서울,08-31,36.5,34.5,41.57,48.8,31.8"
"서울,09-01,23.3,19.34,28.07,32.4,14.6"
"서울,09-02,23.47,19.64,28.16,32.9,15.6"
"서울,09-03,23.23,19.46,27.79,32.3,15.4"
"서울,09-04,23.01,19.06,27.81,32.2,14.6"
"서울,09-05,23.4,19.29,28.43,32.2,15.7"
"서울,09-06,23.47,19.5,28.27,32.0,16.5"
"서울,09-07,23.1,19.26,27.7,31.3,16.0"
"서울,09-08,23.2,19.29,27.9,31.7,16.1"
"서울,09-09,23.1,18.91,28.11,31.9,14.6"
"서울,09-10,23.06,18.89,28.04,32.0,15.5"
"서울,09-11,22.44,18.59,27.06,31.2,14.3"
"서울,09-12,22.46,18.51,27.24,31.6,13.9"
"서울,09-13,22.7,18.56,27.67,31.9,13.8"
"서울,09-14,22.84,18.73,27.74,31.5,15.0"
"서울,09-15,22.46,18.43,27.31,31.3,13.7"
"서울,09-16,21.8,17.7,26.74,31.2,13.8"
"서울,09-17,21.61,17.41,26.54,30.5,13.4"
"서울,09-18,21.64,17.47,26.66,30.1,13.6"
"서울,09-19,21.6,17.41,26.59,29.9,12.8"
"서울,09-20,21.6,17.44,26.54,30.0,13.4"
"서울,09-21,21.43,17.37,26.29,29.4,14.3"
"서울,09-22,21.03,16.89,25.99,29.0,12.9"
"서울,09-23,20.89,16.51,26.04,30.2,12.0"
"서울,09-24,20.4,16.1,25.43,29.1,12.2"
"서울,09-25,20.14,15.5,25.56,28.7,11.5"
"서울,09-26,19.9,15.11,25.43,28.5,11.0"
"서울,09-27,19.86,15.3,25.2,28.1,10.6"
"서울,09-28,19.89,15.53,25.04,28.3,11.1"
"서울,09-29,19.94,15.3,25.26,28.4,10.2"
"서울,09-30,19.7,14.77,25.29,28.2,9.3"
"서울,10-01,18.84,13.76,24.59,28.3,8.8"
"서울,10-02,18.66,13.59,24.4,27.6,8.2"
"서울,10-03,18.49,13.49,24.16,27.2,7.7"
"서울,10-04,18.01,13.11,23.59,26.9,8.1"
"서울,10-05,17.67,12.7,23.3,26.2,7.2"
"서울,10-06,17.2,12.26,22.8,25.5,6.8"
"서울,10-07,16.87,11.97,22.43,25.1,6.5"
"서울,10-08,16.49,11.66,22.0,24.7,6.2"
"서울,10-09,16.03,11.13,21.6,24.2,5.7"
"서울,10-10,15.61,10.63,21.21,23.8,5.1"
"서울,10-11,15.24,10.2,20.86,23.4,4.6"
"서울,10-12,14.86,9.79,20.5,23.0,4.0"
"서울,10-13,14.51,9.37,20.19,22.6,3.5"
"서울,10-14,14.16,9.0,19.89,22.2,2.9"
"서울,10-15,13.8,8.6,19.57,21.8,2.4"
"서울,10-16,13.44,8.21,19.26,21.4,1.8"
"서울,10-17,13.09,7.84,18.96,21.0,1.3"
"서울,10-18,12.74,7.49,18.66,20.6,0.7"
"서울,10-19,12.4,7.1,18.36,20.2,-0.1"
"서울,10-20,12.04,6.71,18.04,19.8,-0.7"
"서울,10-21,11.69,6.34,17.74,19.4,-1.2"
"서울,10-22,11.34,5.99,17.44,19.0,-1.8"
"서울,10-23,10.99,5.6,17.13,18.6,-2.4"
